date,測站氣壓(hPa)StnPres,海平面氣壓(hPa)SeaPres,測站最高氣壓(hPa)StnPresMax,測站最高氣壓時間(LST)StnPresMaxTime,測站最低氣壓(hPa)StnPresMin,測站最低氣壓時間(LST)StnPresMinTime,Temperature,最高氣溫(℃)T Max,最高氣溫時間(LST)T Max Time,最低氣溫(℃)T Min,最低氣溫時間(LST)T Min Time,露點溫度(℃)Td dew point,相對溼度(%)RH,最小相對溼度(%)RHMin,最小相對溼度時間(LST)RHMinTime,風速(m/s)WS,風向(最多風向)(360degree)WD,最大陣風(m/s)WSGust,最大陣風風向(360degree)WDGust,最大陣風風速時間(LST)WGustTime,降水量(mm)Precp,降水時數(hr)PrecpHour,10分鐘最大降水量(mm)PrecpMax10,10分鐘最大降水起始時間(LST)PrecpMax10Time,一小時最大降水量(mm)PrecpHrMax,一小時最大降水量起始時間(LST)PrecpHrMaxTime,日照時數(hr)SunShine,日照率(%)SunShineRate,全天空日射量(MJ/㎡)GloblRad,能見度(km)VisbMean,A型蒸發量(mm)EvapA
2012-06-01,1004.5,1007.6,1005.7,2012-06-01 22:26,1002.5,2012-06-01 15:43,28.2,32.8,2012-06-01 13:14,25.1,2012-06-01 05:35,23.0,74,60,2012-06-01 13:14,2.9,10.0,9.3,310.0,2012-06-01 13:50,0.0,0.0,0.0,,0.0,,9.0,67.1,26.71,9.3,
2012-06-02,1002.3,1005.3,1004.5,2012-06-02 00:01,999.8,2012-06-02 16:22,28.0,32.4,2012-06-02 14:11,24.9,2012-06-02 05:06,23.6,78,62,2012-06-02 11:33,4.3,10.0,13.2,360.0,2012-06-02 17:39,0.0,0.0,0.0,,0.0,,11.7,87.2,29.00,8.1,
2012-06-03,1000.2,1003.2,1001.8,2012-06-03 00:01,998.2,2012-06-03 15:11,28.0,33.1,2012-06-03 13:13,24.7,2012-06-03 03:47,23.6,78,63,2012-06-03 12:49,3.5,10.0,10.4,310.0,2012-06-03 14:13,0.0,0.0,0.0,,0.0,,6.3,46.9,24.72,6.4,
2012-06-04,1000.2,1003.2,1001.8,2012-06-04 22:11,998.1,2012-06-04 16:02,28.2,31.9,2012-06-04 13:48,25.6,2012-06-04 04:12,24.3,80,66,2012-06-04 15:52,2.9,10.0,9.8,10.0,2012-06-04 20:19,0.0,0.0,0.0,,0.0,,2.0,14.9,16.60,6.6,
2012-06-05,1001.4,1004.4,1003.2,2012-06-05 22:23,1000.3,2012-06-05 17:23,28.3,32.4,2012-06-05 11:45,25.6,2012-06-05 03:27,24.3,79,67,2012-06-05 11:16,3.6,20.0,11.5,350.0,2012-06-05 16:04,0.0,0.0,0.0,,0.0,,7.1,52.8,24.81,8.3,
2012-06-06,1001.3,1004.3,1002.7,2012-06-06 00:01,999.5,2012-06-06 13:41,29.1,32.8,2012-06-06 11:34,26.0,2012-06-06 02:39,24.7,78,61,2012-06-06 11:20,1.9,320.0,7.6,320.0,2012-06-06 11:54,0.0,0.0,0.0,,0.0,,4.3,32.0,23.21,8.8,
2012-06-07,1001.3,1004.3,1003.4,2012-06-07 23:11,1000.1,2012-06-07 04:53,30.3,33.8,2012-06-07 11:07,28.1,2012-06-07 02:09,25.3,75,63,2012-06-07 10:36,2.9,170.0,12.9,240.0,2012-06-07 14:02,0.0,0.0,0.0,,0.0,,9.3,69.1,27.46,11.8,
2012-06-08,1002.9,1006.0,1004.1,2012-06-08 21:55,1001.9,2012-06-08 15:25,28.7,33.3,2012-06-08 11:27,27.0,2012-06-08 16:48,25.9,85,66,2012-06-08 11:42,3.0,160.0,10.5,190.0,2012-06-08 12:31,24.0,4.0,8.5,2012-06-08 16:37,12.5,2012-06-08 15:45,4.3,31.9,16.20,13.1,
2012-06-09,1001.7,1004.8,1003.4,2012-06-09 00:01,1000.0,2012-06-09 15:47,27.3,29.7,2012-06-09 08:55,25.9,2012-06-09 21:47,25.8,92,83,2012-06-09 08:51,2.5,160.0,10.9,200.0,2012-06-09 15:57,45.5,5.2,10.0,2012-06-09 22:00,15.5,2012-06-09 21:21,0.2,1.5,10.52,9.9,
2012-06-10,998.7,1001.7,1000.1,2012-06-10 00:01,997.3,2012-06-10 15:11,28.2,30.7,2012-06-10 13:07,25.7,2012-06-10 01:18,26.1,89,79,2012-06-10 14:58,4.0,270.0,13.1,260.0,2012-06-10 08:00,70.0,8.5,13.0,2012-06-10 06:36,32.5,2012-06-10 06:04,0.6,4.5,10.10,9.3,
2012-06-11,997.2,1000.2,998.7,2012-06-11 07:38,995.6,2012-06-11 15:55,29.1,30.9,2012-06-11 15:00,25.4,2012-06-11 07:45,26.5,86,79,2012-06-11 14:34,4.9,250.0,14.5,240.0,2012-06-11 14:23,26.0,3.9,14.0,2012-06-11 07:34,19.5,2012-06-11 06:45,0.2,1.5,9.09,6.8,
2012-06-12,996.2,999.2,998.3,2012-06-12 22:40,994.5,2012-06-12 12:14,27.2,29.0,2012-06-12 02:02,24.7,2012-06-12 06:51,26.0,94,87,2012-06-12 02:31,3.5,260.0,20.1,280.0,2012-06-12 06:37,110.0,14.5,9.0,2012-06-12 10:53,24.5,2012-06-12 07:47,0.0,0.0,1.81,7.0,
2012-06-13,998.1,1001.1,1000.2,2012-06-13 22:20,996.5,2012-06-13 01:46,27.3,30.8,2012-06-13 13:50,24.9,2012-06-13 22:39,25.2,89,76,2012-06-13 14:21,1.9,110.0,11.1,170.0,2012-06-13 22:30,41.0,2.1,11.5,2012-06-13 22:17,38.0,2012-06-13 22:01,0.8,5.9,12.03,5.1,
2012-06-14,997.8,1000.9,999.4,2012-06-14 09:01,995.8,2012-06-14 16:36,25.7,27.0,2012-06-14 07:45,24.4,2012-06-14 11:15,25.0,96,88,2012-06-14 07:50,4.7,170.0,19.0,190.0,2012-06-14 18:07,169.5,14.8,18.5,2012-06-14 15:01,42.0,2012-06-14 14:38,0.0,0.0,1.57,5.4,
2012-06-15,998.5,1001.5,1000.7,2012-06-15 21:55,996.8,2012-06-15 04:21,26.7,30.0,2012-06-15 14:44,25.0,2012-06-15 09:41,25.2,92,78,2012-06-15 14:44,4.1,170.0,10.3,170.0,2012-06-15 05:17,31.0,7.8,3.5,2012-06-15 08:57,11.0,2012-06-15 08:58,0.5,3.7,12.37,9.8,
2012-06-16,1000.6,1003.6,1002.6,2012-06-16 23:00,999.1,2012-06-16 16:28,28.4,32.5,2012-06-16 13:32,25.6,2012-06-16 03:06,24.9,82,63,2012-06-16 16:37,3.6,190.0,12.0,180.0,2012-06-16 13:08,0.5,0.8,0.5,2012-06-16 02:06,0.5,2012-06-16 01:16,4.4,32.6,20.48,15.0,
2012-06-17,1001.6,1004.7,1002.7,2012-06-17 18:30,1000.0,2012-06-17 15:49,28.6,32.6,2012-06-17 12:40,24.5,2012-06-17 18:41,25.0,81,67,2012-06-17 09:03,2.2,20.0,8.4,10.0,2012-06-17 18:46,54.5,1.8,19.0,2012-06-17 18:23,51.5,2012-06-17 18:17,6.7,49.6,21.97,10.0,
2012-06-18,999.0,1002.0,1001.5,2012-06-18 00:01,997.1,2012-06-18 17:41,28.5,32.2,2012-06-18 12:22,25.8,2012-06-18 00:30,24.7,81,64,2012-06-18 11:16,2.9,180.0,13.2,210.0,2012-06-18 22:12,3.5,0.7,3.0,2012-06-18 22:07,3.0,2012-06-18 21:54,8.5,62.9,26.37,12.8,
